"","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","CODINFOR","P300A","P301A","P207","P507","P513T","P524A1","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"2915","19015398111180101371",19015,398,11,1,180101,3,7,1,4,6,1,4,16,100,2,2,2,2,2,2
"2916","1904420112180103661",19044,20,11,2,180103,6,6,1,4,8,1,3,84,2300,2,2,2,2,2,2
"2917","1904481111180103661",19044,81,11,1,180103,6,6,1,4,8,1,3,44,930,2,2,2,2,2,2
"2918","190486112180204681",19048,6,11,2,180204,6,8,1,1,6,1,4,24,480,2,2,2,2,2,2
"2919","1904866112180204681",19048,66,11,2,180204,6,8,1,1,8,1,3,40,2000,2,2,2,2,2,2
"2920","190567111190101531",19056,7,11,1,190101,5,3,1,4,9,1,4,30,300,2,2,2,2,2,2
"2921","1905617111190101531",19056,17,11,1,190101,5,3,1,4,9,1,3,48,960,2,2,2,2,2,2
"2922","1905630111190101531",19056,30,11,1,190101,5,3,1,4,11,1,3,40,4000,2,2,2,2,2,2
"2923","1905630112190101532",19056,30,11,2,190101,5,3,2,4,10,2,3,40,2800,2,2,2,2,2,2
"2924","1905637112190101532",19056,37,11,2,190101,5,3,2,4,6,2,4,48,920,2,2,2,2,2,2
"2925","1905652111190101531",19056,52,11,1,190101,5,3,1,4,6,1,4,84,1300,2,2,2,2,2,2
"2926","1905670111190101531",19056,70,11,1,190101,5,3,1,4,8,2,3,36,1200,2,2,2,2,2,2
"2927","1907714111190113531",19077,14,11,1,190113,5,3,1,4,9,1,3,0,2500,2,2,2,2,2,2
"2928","1907724112190113532",19077,24,11,2,190113,5,3,2,4,11,2,3,48,2000,2,2,2,2,2,2
"2929","1907733112190113532",19077,33,11,2,190113,5,3,2,4,10,2,3,0,2420,2,2,2,2,2,2
"2930","1907744111190113531",19077,44,11,1,190113,5,3,1,4,10,1,3,0,3000,2,2,2,2,2,2
"2931","1907744112190113531",19077,44,11,2,190113,5,3,1,4,10,2,3,0,3000,2,2,2,2,2,2
"2932","190893111190206551",19089,3,11,1,190206,5,5,1,1,10,1,3,0,1500,2,2,2,2,2,2
"2933","1915478113190105581",19154,78,11,3,190105,5,8,1,4,6,1,4,45,480,2,2,2,2,2,2
"2934","1917862111190305761",19178,62,11,1,190305,7,6,1,7,6,1,3,48,900,2,2,2,2,2,2
"2935","19178149111190305761",19178,149,11,1,190305,7,6,1,4,1,2,4,24,600,2,2,2,2,2,2
