MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300A,P301A,P207
5.40812E+17,5408,123,11,1,30207,6,7,1,1,3,1
5.40812E+17,5408,123,11,2,30207,6,7,2,1,1,2
5.40813E+17,5408,125,11,1,30207,6,7,1,1,4,1
5.40813E+17,5408,125,11,2,30207,6,7,2,1,1,2
5.48014E+16,5480,14,11,1,40104,6,1,1,1,5,1
5.48014E+16,5480,14,11,2,40104,6,1,2,1,6,2
5.48028E+16,5480,28,11,1,40104,6,1,1,1,5,1
5.48028E+16,5480,28,11,2,40104,6,1,2,1,4,2
5.48028E+16,5480,28,11,3,40104,6,1,3,1,8,1
5.48028E+16,5480,28,11,4,40104,6,1,4,4,5,2
5.48028E+16,5480,28,11,5,40104,6,1,2,4,3,1
5.48043E+16,5480,43,11,1,40104,6,1,1,4,8,1
5.48043E+16,5480,43,11,2,40104,6,1,2,4,8,2
5.48043E+16,5480,43,11,3,40104,6,1,2,4,3,1
5.48043E+16,5480,43,11,4,40104,6,1,2,4,3,1
5.48057E+16,5480,57,11,1,40104,6,1,1,4,10,1
5.4807E+16,5480,70,11,1,40104,6,1,1,4,4,2
5.4807E+16,5480,70,11,2,40104,6,1,2,4,8,2
5.4807E+16,5480,70,11,3,40104,6,1,3,4,9,1
5.48011E+17,5480,110,11,1,40104,6,1,1,4,7,1
5.48011E+17,5480,110,11,2,40104,6,1,1,1,3,1
5.51171E+15,5511,7,11,1,40103,6,1,1,1,5,2
5.51171E+15,5511,7,11,2,40103,6,1,2,4,8,1
5.51171E+15,5511,7,11,3,40103,6,1,3,4,7,1
5.51171E+15,5511,7,11,4,40103,6,1,4,4,6,1
5.51157E+16,5511,57,11,1,40103,6,1,1,1,5,1
5.51157E+16,5511,57,11,2,40103,6,1,2,1,3,2
5.51189E+16,5511,89,11,1,40103,6,1,1,1,6,1
5.51189E+16,5511,89,11,2,40103,6,1,2,1,6,2
5.51189E+16,5511,89,11,3,40103,6,1,3,4,6,1
5.51189E+16,5511,89,11,4,40103,6,1,4,4,4,2
5.51189E+16,5511,89,11,5,40103,6,1,5,4,10,1
5.51189E+16,5511,89,11,6,40103,6,1,6,4,6,2
5.51111E+17,5511,106,11,1,40103,6,1,1,4,6,2
5.51111E+17,5511,106,11,2,40103,6,1,2,4,7,2
5.51111E+17,5511,106,11,3,40103,6,1,3,4,6,1
5.51111E+17,5511,106,11,4,40103,6,1,4,1,1,2
5.51112E+17,5511,122,11,1,40103,6,1,1,4,6,1
5.51112E+17,5511,122,11,2,40103,6,1,2,4,8,2
5.51112E+17,5511,122,11,3,40103,6,1,3,4,6,1
5.51112E+17,5511,122,11,4,40103,6,1,4,4,6,1
5.51112E+17,5511,122,11,5,40103,6,1,5,4,5,2
5.51112E+17,5511,122,11,6,40103,6,1,2,4,4,1
5.51818E+16,5518,18,12,1,40102,6,1,1,1,5,1
5.51818E+16,5518,18,12,2,40102,6,1,1,1,3,2
5.51818E+16,5518,18,12,3,40102,6,1,1,4,5,1
5.51818E+16,5518,18,22,1,40102,6,1,1,4,9,2
5.51818E+16,5518,18,22,2,40102,6,1,1,4,6,1
5.51818E+16,5518,18,22,3,40102,6,1,1,4,3,1
5.51835E+16,5518,35,11,1,40102,6,1,1,4,3,2
5.51835E+16,5518,35,11,2,40102,6,1,2,4,8,2
5.51835E+16,5518,35,11,3,40102,6,1,2,4,2,1
5.51852E+16,5518,52,11,1,40102,6,1,1,4,8,2
